date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:05	12957/12957	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2013:26:04%20GMT	https://sales-context-graph.mail4sergiu.chatgpt.site/	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/index.html	(from )
16:26:05	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Sat,%2022%20Aug%202026%2013:26:04%20GMT	https://sales-context-graph.mail4sergiu.chatgpt.site/robots.txt		(from )
16:26:05	11343/11343	---MCZ	200	added ('OK')	text/css	etag:W/%227e7bd5d3dce6d23c1bde4cb9324ca75f%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/index-DuVpC3dv.css	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/index-DuVpC3dv.css	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:05	288/288	---MCZ	200	added ('OK')	text/javascript	etag:W/%226798c773c797a1927a71c4c1dfcce33c%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/layout-segment-context-BWSzRIdX.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/layout-segment-context-BWSzRIdX.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:06	694/694	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f7a045d9a2c839e86a1dc04f32fa5e67%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/rolldown-runtime-S-ySWqyJ.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/rolldown-runtime-S-ySWqyJ.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:06	80717/80717	---MCZ	200	added ('OK')	text/javascript	etag:W/%2209126cdf6baa926831719dabe7fc98ad%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/index-BWNojCIt.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/index-BWNojCIt.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:06	189761/189761	---MCZ	200	added ('OK')	text/javascript	etag:W/%22702c63872b17a39bbebd40d749aaac83%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/framework-DjPHiq1u.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/framework-DjPHiq1u.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:07	22197/22197	---MCZ	200	added ('OK')	text/javascript	etag:W/%2281c14762c8a08ba79cdb8789459fcecb%22	https://sales-context-graph.mail4sergiu.chatgpt.site/assets/page-j4v_1cRZ.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/assets/page-j4v_1cRZ.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:07	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2022%20Aug%202026%2013:26:07%20GMT	https://sales-context-graph.mail4sergiu.chatgpt.site/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
16:26:07	22389/22389	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2022%20Aug%202026%2013:26:07%20GMT	https://sales-context-graph.mail4sergiu.chatgpt.site/cdn-cgi/challenge-platform/h/b/scripts/jsd/e694063b5082/main.js?	C:/Users/Sergiu/Desktop/Projects/Generative-AI/sales-context-graph/site/sales-context-graph/sales-context-graph.mail4sergiu.chatgpt.site/cdn-cgi/challenge-platform/h/b/scripts/jsd/e694063b5082/maind41d.js	(from https://sales-context-graph.mail4sergiu.chatgpt.site/)
